Category,Vendor,Phone,Address,City,Province,Postal,username,email,type,contact,position,logo,subdomain
Burgers,Mrs Riches Restaurant,(250) 753-8311,199 Fraser Street,Nanaimo,BC,V9R5C1,,,,,,,
Burgers,Longwood Brew Pub & Restaurant,(250) 729-8225,5775 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Burgers,Gabriel’s Gourmet Cafe,(250) 714-0271,39a Commercial St,Nanaimo,BC,V9R5G3,,,,,,,
Burgers,Browns Socialhouse Nanaimo North,(250) 933-6641,6338 Metral Drive Unit 6,Nanaimo,BC,V9T2L8,,,,,,,
Burgers,Sip and Sliders Food Truck,(250) 751-5424,,,,,,,
Burgers,The Skol,(250) 247-9988,"355 N Road Gabriola Island, BC V0R 1X1 Canada",Nanaimo,BC,V0R1X1,,,,,,,
Burgers,The Modern,(250) 754-5022,221 Commercial Street,Nanaimo,BC,V9R5G8,,,,,,,
Burgers,Crow & Gate Pub,(250) 722-3731,2313 Yellow Point Road,Nanaimo,BC,V9X1W5,,,,,,,
Burgers,Firehouse Grill,(250) 716-0323,7 Victoria Road,Nanaimo,BC,V9R5H9,,,,,,,
Burgers,Woodfire Pizza & Pasta,(250) 247-0095,"500 N Road Unit 1 Gabriola, BC V0R 1X0 Canada",Nanaimo,BC,V0R1X0,,,,,,,
Burgers,White Spot,(250) 390-2941,1601 Island Highway N,Nanaimo,BC,V9S,,,,,,,
Burgers,Trollers Fish & Chips,(250) 741-1609,104 Front Street,Nanaimo,BC,V9R5H7,,,,,,,
Burgers,Montana’s BBQ & Bar,(250) 758-2388,4715 Rutherford Rd,Nanaimo,BC,V9T5S5,,,,,,,
Burgers,Cactus Club Cafe,(250) 729-0011,5800 Turner Rd,Nanaimo,BC,V9T6J4,,,,,,,
Burgers,Simonholt Restaurant,(250) 933-3338,6582 Applecross Road,Nanaimo,BC,V9V0A4,,,,,,,
Burgers,Little George’s,(250) 754-3271,398C Bruce Avenue,Nanaimo,BC,V9R3Y1,,,,,,,
Burgers,Burger King Restaurant,(250) 754-7124,1150 Terminal Avenue N,Nanaimo,BC,V9S5L6,,,,,,,
Burgers,The Pantry Restaurant,(778) 441-4455,648 Terminal Avenue Ste 101,Nanaimo,BC,V9R5E2,,,,,,,
Burgers,Cassidy Country Kitchen,(250) 924-2500,2930 Trans Canada Hwy,Nanaimo,BC,V9X1T2,,,,,,,
Burgers,Wendy’s,(250) 758-2000,2980 Island Hwy,Nanaimo,BC,V9T5V4,,,,,,,
Burgers,Felice Cafe,(250) 585-8882,4176 A Departure Bay Road,Nanaimo,BC,V9T4B7,,,,,,,
Burgers,The View Oceanside Grill,(778) 441-4229,70 Church Street,Nanaimo,BC,V9R5H4,,,,,,,
Burgers,Meat Craft Island Butchery,(250) 933-2257,6461 Metral Dr,Nanaimo,BC,V9T2L9,,,,,,,
Burgers,A&W,(250) 756-4076,701-5800 Turner Road,Nanaimo,BC,V9T6J4,,,,,,,
Burgers,Van Isle Poutinerie,(250) 802-4687,,,,,,,
Burgers,Lighthouse Bistro & Pub,(250) 754-3212,50 Anchor Way,Nanaimo,BC,V9R7B5,,,,,,,
Burgers,McDonald’s,(250) 754-6236,1835 Bowen Road,Nanaimo,BC,V9S1H1,,,,,,,
Burgers,Alice’s Restaurant,(250) 753-9334,728 Nicol Street,Nanaimo,BC,V9R4V1,,,,,,,
Burgers,The Quarterway Pub,(250) 754-2733,1431 Bowen Road,Nanaimo,BC,V9S1G4,,,,,,,
Burgers,GYPSYtrunk Vegan Food Cart & Catering,(604) 340-6015,,,,,,,
Burgers,The Old City Station Pub,(250) 716-0030,150 Skinner Street,Nanaimo,BC,V9R7A6,,,,,,,
Burgers,DQ Grill & Chill Restaurant,,,,,,,
Burgers,A&W,(250) 753-9960,60 Victoria Cresent,Nanaimo,BC,V9R5B8,,,,,,,
Burgers,Smitty’s,(250) 716-8887,"117, 50 - 10 Street",Nanaimo,BC,V9R6L1,,,,,,,
Burgers,Milano’s Ristorante,(250) 390-5060,6551 Aulds Rd Suite 300,Nanaimo,BC,V9T6K2,,,,,,,
Burgers,Sea Drift Fish Market,(250) 754-4913,1533 Estevan Road,Nanaimo,BC,V9S3Y3,,,,,,,
Burgers,DQ Grill & Chill Restaurant,(250) 754-6921,280 Nicol St,Nanaimo,BC,V9R4T2,,,,,,,
Burgers,Dairy Queen Grill & Chill,(250) 756-0381,3190 Island Highway N Hwy,Nanaimo,BC,V9T1W1,,,,,,,
Burgers,Dairy Queen/Orange Julius Treat Ctr,(250) 390-2064,6631 Island Hwy N Woodgrove Centre Unit F1 Woodgrove Centre,Nanaimo,BC,V9T4T7,,,,,,,
Burgers,McDonald’s,(250) 753-5313,1213 Princess Royal Ave.,Nanaimo,BC,V9S3Z6,,,,,,,
Burgers,Ricky’s All Day Grill,(250) 390-1227,6550 Island Highway,Nanaimo,BC,V9V1K8,,,,,,,
Burgers,A&W,(250) 716-0035,1275 Island Highway South 1,Nanaimo,BC,V9R7A4,,,,,,,
Burgers,McDonald’s,(250) 754-5123,193 Nicol Street,Nanaimo,BC,V9R4T1,,,,,,,
Burgers,Boston Pizza,(250) 751-0090,2-5779 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Burgers,A&W,(250) 390-3611,6631 Island Highway North,Nanaimo,BC,V9T4T7,,,,,,,
Burgers,McDonald’s,(250) 758-3422,4725 Rutherford Road,Nanaimo,BC,V9T4K6,,,,,,,
Chinese,Da Tang,(250) 585-8128,2220 Bowen Road Suite 1,Nanaimo,BC,V9S1H9,,,,,,,
Chinese,Driftwood Chinese Buffet,,,,,,,
Chinese,Shanghai City Restaurant,,,,,,,
Chinese,Sun’s Noodlebar,(250) 753-6433,90 50 Tenth Street Unit 80,Nanaimo,BC,V9R6L1,,,,,,,
Chinese,Rhythm Restaurant,(250) 591-2288,302-530 5th Street,Nanaimo,BC,V9R1P1,,,,,,,
Chinese,Hong Kong House Restaurant,(250) 758-1558,3023 Barons Road,Nanaimo,BC,V9T3Y6,,,,,,,
Chinese,Saigon Kitchen,(250) 751-0333,2- 5148 Metral Drive,Nanaimo,BC,V9T2K8,,,,,,,
Chinese,Yang’s Cuisine,(250) 753-8322,642 Fifth Street,Nanaimo,BC,V9R1P9,,,,,,,
Chinese,Dover Chinese Food,(250) 390-9111,103-6330 Dover Road,Nanaimo,BC,V9V1S4,,,,,,,
Chinese,Mandarin House,(250) 754-1470,201 Fourth Street,Nanaimo,BC,V9R1T3,,,,,,,
Italian,La Stella Trattoria,(778) 441-4668,321 Wesley Street Suite 1,Nanaimo,BC,V9R2T5,,,,,,,
Italian,Alexandra’s Bistro,(250) 729-7134,2220 Bowen Road Suite 21,Nanaimo,BC,V9S1H9,,,,,,,
Italian,Eataliano Kitchen,(250) 722-2080,1830 Cedar Road,Nanaimo,BC,V9X1L6,,,,,,,
Italian,Milano’s Ristorante,,,,,,,
Italian,Casa Italia Pizza & Pasta,(250) 716-1700,680 Trans Canada Highway,Nanaimo,BC,V9S5R1,,,,,,,
Italian,Original Joes,3290 Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Italian,Little George’s Pizza & Pasta Local Guys,(250) 390-2888,6404 Metral Drive Suite 4,Nanaimo,BC,V9T2L8,,,,,,,
Italian,Little George’s,(250) 754-3271,398C Bruce Avenue,Nanaimo,BC,V9R3Y1,,,,,,,
Italian,New York Style Pizza & Pasta,(250) 754-0111,299 Wallace Street,Nanaimo,BC,V9R5B4,,,,,,,
Italian,Friends Dining Lounge,(250) 716-0012,621 Townsite Road,Nanaimo,BC,V9S1L4,,,,,,,
Reservations,Astera’s Greek Taverna,(250) 716-0451,347 Wesley Street,Nanaimo,BC,V9R2T6,,,,,,,
Reservations,Firehouse Grill,(250) 716-0323,7 Victoria Road,Nanaimo,BC,V9R5H9,,,,,,,
Reservations,Nori Japanese Restaurant,(250) 751-3377,6750 Island Highway N Suite 203,Nanaimo,BC,V9V1S3,,,,,,,
Reservations,Browns Socialhouse Nanaimo North,(250) 933-6641,6338 Metral Drive Unit 6,Nanaimo,BC,V9T2L8,,,,,,,
Reservations,Milton Street Public House,(250) 591-1090,247 Milton Street,Nanaimo,BC,V9R2K5,,,,,,,
Reservations,La Stella Trattoria,(778) 441-4668,321 Wesley Street Suite 1,Nanaimo,BC,V9R2T5,,,,,,,
Reservations,Saigon Kitchen,(250) 751-0333,2- 5148 Metral Drive,Nanaimo,BC,V9T2K8,,,,,,,
Reservations,Cactus Club Cafe,(250) 729-0011,5800 Turner Rd,Nanaimo,BC,V9T6J4,,,,,,,
Reservations,The Bold Knight,(250) 754-6411,1140 Island Highway S,Nanaimo,BC,V9R5R1,,,,,,,
Reservations,The Nest,(250) 591-2721,77 Skinner Street,Nanaimo,BC,V9R5H3,,,,,,,
Reservations,The Mahle House Restaurant,(250) 722-3621,2104 Hemer Rd,Nanaimo,BC,V9X1L8,,,,,,,
Reservations,Beefeater’s,(250) 753-2333,1840 Stewart Avenue,Nanaimo,BC,V9S4E6,,,,,,,
Reservations,Marina’s Taverna and Pizza,(778) 441-2626,215 Terminal Avenue N,Nanaimo,BC,V9S4J4,,,,,,,
Reservations,Simonholt Restaurant,(250) 933-3338,6582 Applecross Road,Nanaimo,BC,V9V0A4,,,,,,,
Reservations,Milano’s Ristorante,(250) 390-5060,6551 Aulds Rd Suite 300,Nanaimo,BC,V9T6K2,,,,,,,
Reservations,The Palace Hotel,(250) 753-7465,275 Skinner Street,Nanaimo,BC,V9R5E9,,,,,,,
Reservations,The Kebap,(250) 758-3650,1420 Wingrove Street Suite 3,Nanaimo,BC,V9S3L7,,,,,,,
Reservations,Montana’s BBQ & Bar,(250) 758-2388,4715 Rutherford Rd,Nanaimo,BC,V9T5S5,,,,,,,
Reservations,Lighthouse Bistro & Pub,(250) 754-3212,50 Anchor Way,Nanaimo,BC,V9R7B5,,,,,,,
Reservations,Longwood Brew Pub & Restaurant,(250) 729-8225,5775 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Reservations,Gina’s Mexican Cafe,,,,,,,
Reservations,Kim’s Korean BBQ House,(250) 591-6369,1607 Bowen Road,Nanaimo,BC,V9S1G6,,,,,,,
Reservations,Sushi Ryu,(250) 933-3889,6595 Applecross Road,Nanaimo,BC,V9V1K8,,,,,,,
Reservations,Dami Sushi Japanese Restaurant,,,,,,,
Reservations,Minnoz Restaurant & Lounge,(250) 824-0167,11 Bastion St,Nanaimo,BC,V9R6E4,,,,,,,
Reservations,NANDA CHICKEN,(250) 591-5911,A 477 Wallace Street,Nanaimo,BC,V9R5B7,,,,,,,
Reservations,The Modern,,,,,,,
Reservations,Grand Cru Restaurant & Whisky Bar,(250) 758-3000,4898 Rutherford Road,Nanaimo,BC,V9T4Z4,,,,,,,
Reservations,Manvirro’s Indian Grill,(250) 591-0558,1045B Terminal Avenue N,Nanaimo,BC,V9S4K3,,,,,,,
Reservations,Alexandra’s Bistro,(250) 729-7134,2220 Bowen Road Suite 21,Nanaimo,BC,V9S1H9,,,,,,,
Reservations,Little George’s,(250) 754-3271,398C Bruce Avenue,Nanaimo,BC,V9R3Y1,,,,,,,
Reservations,Tandoori Junction Indian Cuisine,(250) 591-8980,489 Wallace Street,Nanaimo,BC,V9R5B8,,,,,,,
Reservations,Original Joes,3290 Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Reservations,Drip Coffee | Social,(250) 585-7747,2835 Departure Bay Road,Nanaimo,BC,V9S3X1,,,,,,,
Reservations,Carlos O’Bryan’s,(250) 591-3088,1724 Stewart Avenue,Nanaimo,BC,V9S4E6,,,,,,,
Reservations,Da Tang,(250) 585-8128,2220 Bowen Road Suite 1,Nanaimo,BC,V9S1H9,,,,,,,
Reservations,Cassidy Country Kitchen,(250) 924-2500,2930 Trans Canada Hwy,Nanaimo,BC,V9X1T2,,,,,,,
Reservations,New York Style Pizza & Pasta,(250) 754-0111,299 Wallace Street,Nanaimo,BC,V9R5B4,,,,,,,
Reservations,Golden Inn Seafood Restaurant,(250) 758-2733,3901 Victoria Avenue,Nanaimo,BC,V9T2A1,,,,,,,
Reservations,The Pantry Restaurant,(778) 441-4455,648 Terminal Avenue Ste 101,Nanaimo,BC,V9R5E2,,,,,,,
Reservations,Felice Cafe,(250) 585-8882,4176 A Departure Bay Road,Nanaimo,BC,V9T4B7,,,,,,,
Reservations,Nana Sushi,(250) 591-0755,14 Victoria Crescent,Nanaimo,BC,V9R5B8,,,,,,,
Reservations,Gateway To India Restaurant & Sweets,(250) 755-4037,202 Fourth Street,Nanaimo,BC,V9R1T2,,,,,,,
Reservations,Sushi Eh,(250) 390-9882,6359 Hammond Bay Rd,Nanaimo,BC,V9T5Y1,,,,,,,
Reservations,Zalathai,(250) 591-6988,22 Victoria Crescent,Nanaimo,BC,V9R5B9,,,,,,,
Reservations,The Queen’s,(250) 754-6751,34 Victoria Cres,Nanaimo,BC,V9R5B8,,,,,,,
Reservations,Ricky’s All Day Grill,(250) 390-1227,6550 Island Highway,Nanaimo,BC,V9V1K8,,,,,,,
Reservations,Baby Salsa Mexican Restaurant,(250) 591-8353,550 5th Street Suite 205,Nanaimo,BC,V9R1P1,,,,,,,
Reservations,The Corner Lounge,(778) 441-2793,121 Bastion Street,Nanaimo,BC,V9R3A2,,,,,,,
Reservations,New York Style Pizza & Pasta,(250) 585-5056,6304 Dover Road Suite 403,Nanaimo,BC,V9V1S4,,,,,,,
Reservations,Pipers Pub,(250) 760-6060,4700 Hammond Bay Road,Nanaimo,BC,V9T5B1,,,,,,,
Reservations,Pho Boi,(250) 933-0071,6596 Applecross Road Suite 108,Nanaimo,BC,V9V1A4,,,,,,,
Reservations,Mrs Riches Restaurant,(250) 753-8311,199 Fraser Street,Nanaimo,BC,V9R5C1,,,,,,,
Reservations,Penny’s Palapa,(250) 753-2150,10 Wharf St,Nanaimo,BC,V9R,,,,,,,
Reservations,Kasira Fine Thai Cuisine,(250) 390-4299,6-6404 Metral Dr,Nanaimo,BC,V9T,,,,,,,
Reservations,Hong Kong House Restaurant,(250) 758-1558,3023 Barons Road,Nanaimo,BC,V9T3Y6,,,,,,,
Reservations,Alice’s Restaurant,(250) 753-9334,728 Nicol Street,Nanaimo,BC,V9R4V1,,,,,,,
Reservations,Pho V Ta Vietnamese Restaurant,(250) 591-1746,1-1601 Bowen Road,Nanaimo,BC,V9S1G6,,,,,,,
Reservations,The Black Bear Pub Nanaimo,(250) 390-4800,6201 Doumont Road,Nanaimo,BC,V9T6G7,,,,,,,
Reservations,Boston Pizza,(250) 751-0090,2-5779 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Japanese,Wa-ku Japanese Restaurant,(778) 441-4899,1483 Bowen Road,Nanaimo,BC,V9S1G3,,,,,,,
Japanese,Nori Japanese Restaurant,(250) 751-3377,6750 Island Highway N Suite 203,Nanaimo,BC,V9V1S3,,,,,,,
Japanese,Sushi Ryu,(250) 933-3889,6595 Applecross Road,Nanaimo,BC,V9V1K8,,,,,,,
Japanese,Bistro Taiyo Japanese Restaurant,,,,,,,
Japanese,Dami Sushi Japanese Restaurant,(250) 585-4466,10-4890 Rutherford Road,Nanaimo,BC,V9T4Z4,,,,,,,
Japanese,Nanaimo Sushi kura,(250) 741-8699,428 Fitzwilliam St,Nanaimo,BC,V9R3B1,,,,,,,
Japanese,Umai Sushi,(250) 585-8900,303-4575 Uplands Drive,Nanaimo,BC,V9T6M8,,,,,,,
Japanese,Nana Sushi,(250) 591-0755,14 Victoria Crescent,Nanaimo,BC,V9R5B8,,,,,,,
Japanese,Seto Sushi Food,,,,,,,
Japanese,Bistro Taiyo,321 Wesley Street,Nanaimo,BC,V9R3A7,,,,,,,
Mexican,Jalapeños,(778) 441-4020,450 Wakesiah Avenue Suite B,Nanaimo,BC,V9R3K9,,,,,,,
Mexican,Baby Salsa Mexican Restaurant,(250) 591-8353,550 5th Street Suite 205,Nanaimo,BC,V9R1P1,,,,,,,
Mexican,Gina’s Mexican Cafe,(250) 753-5411,47 Skinner Street,Nanaimo,BC,V9R5G9,,,,,,,
Mexican,Baby Salsa Express,(778) 441-4190,150 Terminal Avenue N,Nanaimo,BC,V9S4J3,,,,,,,
Mexican,Penny’s Palapa,(250) 753-2150,10 Wharf St,Nanaimo,BC,V9R,,,,,,,
Mexican,barBURRITO,(250) 591-2235,102 - 648 Terminal Avenue,Nanaimo,BC,V9R5E2,,,,,,,
Mexican,Delicado’s North,(250) 390-0700,404-6581 Aulds Road,Nanaimo,BC,V9T6J6,,,,,,,
Mexican,Tacomania,(250) 756-5443,4750 Rutherford Road,Nanaimo,BC,V9T4K6,,,,,,,
Mexican,Taco Bell,(250) 390-1565,6896 Island Highway N,Nanaimo,BC,V9V1P6,,,,,,,
Mexican,Trollers Fish & Chips,(250) 741-1609,104 Front Street,Nanaimo,BC,V9R5H7,,,,,,,
Thai,Saigon Kitchen,(250) 751-0333,2- 5148 Metral Drive,Nanaimo,BC,V9T2K8,,,,,,,
Thai,Zalathai,(250) 591-6988,22 Victoria Crescent,Nanaimo,BC,V9R5B9,,,,,,,
Thai,Sukkhothai Gourmet Restaurant,(250) 591-8424,123 Commercial Street,Nanaimo,BC,V9R5G5,,,,,,,
Thai,Kasira Fine Thai Cuisine,(250) 390-4299,6-6404 Metral Dr,Nanaimo,BC,V9T,,,,,,,
Thai,Huong Lan Vietnamese Restaurant,(250) 756-7943,19-1925 Bowen Road,Nanaimo,BC,V9S1H1,,,,,,,
Thai,Thai Chili,(250) 729-2698,3200 N Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Thai,Gabriel’s Gourmet Cafe,(250) 714-0271,39a Commercial St,Nanaimo,BC,V9R5G3,,,,,,,
Thai,Eve Olive,(250) 585-5337,5281 Rutherford Rd,Nanaimo,BC,V9T5N9,,,,,,,
Thai,Noodlebox,(778) 441-4494,648 Terminal Avenue Unit 107,Nanaimo,BC,V9R5E2,,,,,,,
Thai,COCO Cafe,,,,,,,
Contractors,Boehm Construction,(250) 751-4030,,,,,,,
Contractors,B Gallant Homes,(250) 714-1991,170 Wallace Street,Nanaimo,BC,V9R5B1,,,,,,,
Contractors,Creative Concepts Carpentry,(250) 797-4499,3200 Fairway Cres,Nanaimo,BC,V9T3B1,,,,,,,
Contractors,CMP Industries,(236) 544-9062,,,,,,,
Contractors,Alair Homes Nanaimo,(250) 754-5500,96 Wallace Street,Nanaimo,BC,V9R5C4,,,,,,,
Contractors,Clark Pacific Excavating,,,,,,,
Contractors,Daves Interior Renovations,(250) 618-4320,25 Pryde Avenue,Nanaimo,BC,V9S4R5,,,,,,,
Contractors,Starke Contracting,(250) 755-9684,604 Victoria Road,Nanaimo,BC,V9R,,,,,,,
Contractors,Volker Construction & Renovations,,,,,,,
Contractors,Mattson Construction,(250) 668-3623,,,,,,,
Contractors,Fisk Construction,(250) 755-9794,721 Quail Place,Nanaimo,BC,V9T5R2,,,,,,,
Contractors,Silver Faks Contracting,(250) 618-4146,,,,,,,
Contractors,Stoked Homes,(604) 353-0399,,,,,,,
Contractors,BoldCoast Custom Construction,(250) 618-7098,,,,,,,
Contractors,Davies Installations,(250) 758-1896,3141 Andres Road,Nanaimo,BC,V9R6X2,,,,,,,
Contractors,Buck Robertson Contracting,(250) 668-4866,3381 Arrow Smith Road,Nanaimo,BC,V9T5V3,,,,,,,
Contractors,Campbellot Renovations,,,,,,,
Contractors,McCartan Contracting,(250) 754-9635,111 Craig Street,Nanaimo,BC,V9R3V2,,,,,,,
Contractors,A Coat of Many Colours,,,,,,,
Contractors,Southpaw Standards Home Contracting,,,,,,,
Contractors,Ridgeview Roofing,,,,,,,
Contractors,G & G Roofing,,,,,,,
Contractors,Ciccone Construcción,,,,,,,
Contractors,Karbonit Construction,(778) 898-9839,,,,,,,
Contractors,Houlihan Plumbing,(250) 415-3800,,,,,,,
Contractors,Pacific Rim Roofing,(250) 758-8822,2135 Carmen Road,Nanaimo,BC,V9S5L7,,,,,,,
Contractors,Bayview Heating,(250) 714-0209,1080 Woodlands Street,Nanaimo,BC,V9S2T3,,,,,,,
Contractors,GRM Home Repair Solution,,,,,,,
Contractors,Con-Rod Installations,,,,,,,
Contractors,Tred Homes,,,,,,,
Contractors,Coastal Creations,,,,,,,
Contractors,Emperor Innovations Group,,,,,,,
Contractors,Crown Choice,,,,,,,
Contractors,Hartmann & Company,(250) 754-2288,241 Selby Street,Nanaimo,BC,V9R2R2,,,,,,,
Contractors,Colwood Homes,,,,,,,
Contractors,Timberock Forming,,,,,,,
Contractors,Crawshaw Construction,,,,,,,
Contractors,Suhavi Contracting,,,,,,,
Contractors,Ellis Excavating,,,,,,,
Contractors,Cody Renovations and Construction,,,,,,,
